CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
Ultraviolette Automotive,FinTech,Series A,876.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,,,
Inthree Access,FinTech,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,
BUGWORKS Research India,FinTech,Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,2018,,,
Guardian.in,FinTech,Seed,3000000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,,,
PrestLoans,FinTech,Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,
Wimoxez,FinTech,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,
India Accelerator,FinTech,Angel,3000000.0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,,,
HappyEMI,FinTech,Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,
Wishup,FinTech,Seed,3000000.0,Azadpur,Premium Personal Assistance service,2018,,,
Hansel.io,FinTech,Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,
Propelld,FinTech,Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,2018,,,
PivotRoots,FinTech,Series A,3000000.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,,,
ZiffyHomes,FinTech,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,
Carmesi,FinTech,Seed,496400.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,,,
OckyPocky,FinTech,Angel,3000000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,,,
Racetrack,FinTech,Seed,4993200.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,,,
WHR,FinTech,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,,,
Asteria Aerospace,FinTech,Seed,3000000.0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,,,
FabAlley,FinTech,Series B,8760000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,,,
Tranzmeo,FinTech,Pre-Seed,3000000.0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,,,
