CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
QuickShift,FinTech,Seed,770000.0,Pune,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",2021,Anshul Goenka,"Anicut Angel Fund, Axilor Ventures",2016.0
StackBOX,FinTech,Unknown,1200000.0,Bangalore,DISTRIBUTION SIMPLIFIED,2021,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",2016.0
MedPrime Technologies,FinTech,Seed,3000000.0,Thane,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.",2021,"Samrat, Greeshma Unnikrishnan, Binil Jacob, Mahesh Kumar Rathor","Mumbai Angels Network, Social Alpha",2014.0
infra.market,FinTech,Series D,125000000.0,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,2021,"Souvik Sengupta, Aaditya Sharda",Tiger Global,2016.0
CollegeDekho,FinTech,Series B,35000000.0,Gurgaon,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",2021,Ruchir Arora,"Disrupt ADQ, QIC",2015.0
BOX8,FinTech,Unknown,40000000.0,Mumbai,India's Largest Desi Meals Brand,2021,"Anshul Gupta, Amit Raj",Tiger Global,2012.0
Simpl,FinTech,Series B,40000000.0,Bangalore,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards",2021,"Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",2015.0
8i Ventures,FinTech,Unknown,50000000.0,Mumbai,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,2021,Vikram Chachra,,2018.0
PayGlocal,FinTech,Series A,4900000.0,Bangalore,PayGlocal is a FinTech solving for global payments acceptance,2021,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,2021.0
Curefit,"Health, Wellness & Fitness",Unknown,145000000.0,Bangalore,Tata Digital-backed Curefit,2021,"Mukesh Bansal, Ankit",Zomato,2016.0
Pocket FM,FinTech,Series B,22000000.0,Bangalore,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",2021,"Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners",2018.0
CHARGE+ZONE,FinTech,Unknown,10000000.0,Vadodara,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,2021,Kartikey Hariyani,Venture Catalysts,2018.0
PlanetSpark,FinTech,Series B,13000000.0,Gurugram,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,2021,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",2017.0
LenDenClub,FinTech,Series A,10000000.0,Mumbai,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,2021,"Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",2015.0
CometChat,FinTech,Series A,10000000.0,Mumbai,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",2021,"Anuj, Anant Garg",Signal Peak Ventures,2009.0
AgroStar,FinTech,Series D,70000000.0,Pune,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.",2021,"Shardul, Sitanshu Sheth","Evolvence, Hero Enterprise",2013.0
Bizongo,FinTech,Series D,100000000.0,Mumbai,Bizongo is India’s largest B2B platform for made-to-order products.,2021,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,2015.0
Probus Insurance,FinTech,Unknown,6700000.0,Mumbai,Probus Insurance is a leading InsurTech platform in India.,2021,Rakesh goyal,BlueOrchard Impact Investment Managers,2002.0
MoEngage,FinTech,Series D,30000000.0,Bangalore,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,2021,"Raviteja Dodda, Yashwanth Kumar",Steadview Capital,2014.0
CloudSEK,FinTech,Series A,7000000.0,Bangalore,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,2021,Rahul Sasi,MassMutual Ventures,2015.0
Exponent Energy,FinTech,Pre-series A,5000000.0,Bangalore,Simplifying energy for EVs by building a Flexible Energy Stack.,2021,"Arun Vinayak, Sanjay Byalal",YourNest VC,2020.0
Trinkerr,FinTech,Series A,6600000.0,Bangalore,Trinkerr is India's first social trading platform.,2021,"Manvendra Singh, Gaurav Agarwal",Accel India,2021.0
Zorro,FinTech,Seed,32000000.0,Gurugram,Pseudonymous social network platform,2021,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",2021.0
Ultraviolette,FinTech,Series C,150000000.0,Bangalore,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,2021,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",2021.0
NephroPlus,FinTech,Series E,24000000.0,Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",2021,Vikram Vuppala,IIFL Asset Management,2009.0
Unremot,FinTech,Seed,700000.0,Bangalore,Unremot is a personal office for consultants!,2021,Shiju Radhakrishnan,Inflection Point Ventures,2020.0
FanAnywhere,FinTech,Seed,3000000.0,Bangalore,Celebrity NFT platform,2021,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",2021.0
PingoLearn,FinTech,Unknown,200000.0,Pune,PingoLearn offers language learning courses with snackable videos.,2021,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, AngelList Syndicate",2021.0
Spry,FinTech,Seed,1500000.0,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,2021,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",2021.0
Enmovil,FinTech,Pre-series A,1300000.0,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,2021,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,2015.0
ASQI Advisors,FinTech,Pre-series A,1000000.0,Mumbai,Bringing Blockchain technology intro mainstream finance!,2021,Swapnil Pawar,Founders Room Capital,2019.0
Insurance Samadhan,FinTech,Pre-series A,725000.0,New Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,2021,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",2018.0
Evenflow Brands,FinTech,Unknown,500000.0,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,2021,"Utsav Agarwal, Pulkit Chhabra",,2020.0
MasterChow,FinTech,Seed,461000.0,Food & Beverages,A ready-to-cook Asian cuisine brand,2021,"Vidur Kataria, Sidhanth Madan",WEH Ventures,2020.0
Fullife Healthcare,FinTech,Unknown,3000000.0,Pharmaceuticals	#REF!,Varun Khanna,2021,Morgan Stanley Private Equity Asia,$22000000,2009.0
Trinkerr,FinTech,Series A,6600000.0,Bangalore,Trinkerr is India's first social trading platform.,2021,"Manvendra Singh, Gaurav Agarwal",Accel India,2021.0
Zorro,FinTech,Seed,32000000.0,Gurugram,Pseudonymous social network platform,2021,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",2021.0
Ultraviolette,FinTech,Series C,150000000.0,Bangalore,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,2021,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",2021.0
NephroPlus,FinTech,Series E,24000000.0,Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",2021,Vikram Vuppala,IIFL Asset Management,2009.0
Unremot,FinTech,Seed,700000.0,Bangalore,Unremot is a personal office for consultants!,2021,Shiju Radhakrishnan,Inflection Point Ventures,2020.0
FanAnywhere,FinTech,Seed,3000000.0,Bangalore,Celebrity NFT platform,2021,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",2021.0
PingoLearn,FinTech,Unknown,200000.0,Pune,PingoLearn offers language learning courses with snackable videos.,2021,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, AngelList Syndicate",2021.0
Spry,FinTech,Seed,1500000.0,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,2021,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",2021.0
Enmovil,FinTech,Pre-series A,1300000.0,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,2021,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,2015.0
ASQI Advisors,FinTech,Pre-series A,1000000.0,Mumbai,Bringing Blockchain technology intro mainstream finance!,2021,Swapnil Pawar,Founders Room Capital,2019.0
Insurance Samadhan,FinTech,Pre-series A,725000.0,New Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,2021,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",2018.0
Evenflow Brands,FinTech,Unknown,500000.0,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,2021,"Utsav Agarwal, Pulkit Chhabra",,2020.0
MasterChow,FinTech,Seed,461000.0,Food & Beverages,A ready-to-cook Asian cuisine brand,2021,"Vidur Kataria, Sidhanth Madan",WEH Ventures,2020.0
Fullife Healthcare,FinTech,Unknown,3000000.0,Pharmaceuticals	#REF!,Varun Khanna,2021,Morgan Stanley Private Equity Asia,$22000000,2009.0
MoEVing,FinTech,Unknown,3000000.0,Gurugram	#REF!,"Vikash Mishra, Mragank Jain",2021,"Anshuman Maheshwary, Dr Srihari Raju Kalidindi",$5000000,2021.0
Pristyn Care,FinTech,Series E,96000000.0,Gurugram,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,2021,"Harsimarbir (Harsh) Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",2018.0
Plix,"Health, Wellness & Fitness",Series A,5000000.0,Mumbai,Plant-based nutraceutical firm,2021,"Rishubh Satiya, Akash Zaveri","Guild Capital, RPSG Capital Ventures",2018.0
Uni Cards,FinTech,Series A,70000000.0,Bangalore,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.",2021,"Nitin Gupta, Prateek Jindal, Laxmikant Vyas","General Catalyst, Eight Roads Ventures, Elevation Capital",2020.0
Practically,FinTech,Unknown,5000000.0,Hyderabad,An experiential learning app for grades 6th to 12th.,2021,"Subbarao Siddabattula, Charu Noheria, Ilangovel Thulasimani","NB Ventures, Earlsfield Capital",2018.0
Nestasia,FinTech,Series A,4000000.0,Kolkata,"Artisanal, Handmade, bio conscious crafts from South East Asia.",2021,"Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",2018.0
Vedic Cosmeceuticals,FinTech,Series A,32000000.0,Noida,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,2021,Mohit Goel,Sixth Sense Ventures,2002.0
Juspay,FinTech,Series C,60000000.0,Bangalore,Enable frictionless payments for the billion Indians.,2021,"Vimal Kumar, Ramanathan RV",SoftBank Vision Fund 2,2012.0
TranZact,FinTech,Series A,7000000.0,Mumbai,A mission to digitize millions of Indian SMEs so they can grow better.,2021,"Ritesh Kumar, Sharad Sen Sharma, Rohan Sen Sharma","Tribe Capital, Prime Venture Partners",2017.0
Atomberg,FinTech,Unknown,20000000.0,Mumbai,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,2021,"Manoj, Sibabrata Das",Jungle Ventures,2012.0
Ola,FinTech,Unknown,500000000.0,Bangalore,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",2021,Bhavish Aggarwal,Marquee international institutional investors,2010.0
Mohalla Tech,FinTech,Series G,266000000.0,Bangalore,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",2021,"Ankush Sachdeva, Bhanu Pratap Singh",Alkeon Capital,2015.0
Stack,FinTech,Seed,4500000.0,Bangalore,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,2021,"Smriti Tomar, Tushar Vyas","Y Combinator, Harvard Management",2020.0
PropReturns,FinTech,Unknown,1200000.0,Mumbai,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,2021,"Jayant Panwar, Kenish Shah","Y Combinator﻿, ﻿Goodwater Capital",2020.0
WeSkill,FinTech,Pre-seed,4000000.0,Gurugram,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,2021,"Shaurya Joshi, Shashank Patidar, Praneet Agarwal","Shrishti Sahu, Umang Vohra",2020.0
Fitpage,"Health, Wellness & Fitness",Unknown,300000.0,Mumbai,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",2021,Vikas Singh,"Astra Ventures, Gaurav Jaitly",2020.0
ShopMyLooks,FinTech,Unknown,200000.0,Noida,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,2021,Rohit Jaiswal,"Capital A, Collective Artists Network",2021.0
ByteLearn,FinTech,Seed,9500000.0,Noida,AI powered teaching assistant for 100 Mn teachers across the world,2021,,"Aditya Singhal, Nishant Sinha",2021.0
Dista,FinTech,Seed,1200000.0,Pune,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,2021,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,2017.0
OfBusiness,FinTech,Unknown,325000000.0,Gurugram,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.",2021,"Ruchi Kalra, Asish Mohapatra","Alpha Wave Ventures II, Tiger Global Management, SoftBank Vision Fund II",2015.0
Bizongo,FinTech,Series D,100000000.0,Mumbai,izongo is India’s largest B2B platform for made-to-order products.,2021,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,2015.0
FRND,FinTech,Series A,6500000.0,Bangalore,FRND is an audio dating app for Bharat,2021,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",KRAFTON,2019.0
Metadome,FinTech,Pre-series A,4000000.0,Bangalore,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.",2021,"Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",2017.0
Keka HR,FinTech,Unknown,1600000.0,Hyderabad,Keka is a simple and intuitive HR software unlike the traditional HR systems.,2021,Vijay Yalamanchili,Recur Club,2014.0
The Gourmet Jar,FinTech,Unknown,150000.0,Noida,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.",2021,Apeksha Jain,DevX Venture Fund,2012.0
Flo Mobility,FinTech,Unknown,400000.0,Bangalore,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.",2021,"Manesh Jain, Mohan Kumar","DevX Venture Fund, Blume Founder Fund",2019.0
Yodacart,FinTech,Pre-seed,225000.0,Thane,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,2021,Vikas Sharma,Ajith Daneil,2019.0
TheHouseMonk,FinTech,Unknown,5000000.0,Bangalore,A complete property management software platform for team&customers.,2021,"Ajay Kumar, Balaji Varadharajan",Aurum Proptech,2019.0
Zepto,FinTech,Unknown,100000000.0,Bangalore,"Ability to consistently deliver 2,500+ products in 10 minutes flat.",2021,"Aadit Palicha, Kaivalya Vohra",Y-Combinator,2021.0
Sirona Hygiene,"Health, Wellness & Fitness",Unknown,10000000.0,New Delhi,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",2021,Deep Bajaj,The Good Glamm Group,2015.0
Jumbotail,FinTech,Series C,85000000.0,Bangalore,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores",2021,"S Karthik Venkateswaran, Ashish Jhina",Invus,2015.0
Captain Fresh,FinTech,Series B,40000000.0,Bangalore,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,2021,Utham Gowda,"Tiger Global, Prosus Ventures",2019.0
Deciwood,FinTech,Unknown,200000.0,New Delhi,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",2021,Ananya Meena,"Shuru Up, Ankit Kedia, Arun Gupta",2018.0
Kohbee,FinTech,Pre-seed,235000.0,Bangalore,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.",2021,"Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",2019.0
Perfora,FinTech,Pre-seed,260000.0,Gurugram,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",2021,"Tushar Khurana, Jatan Bawa",Sauce.vc,2021.0
Unbox Robotics,FinTech,Series A,7000000.0,Pune,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,2021,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3one4 Capital, Sixth Sense Ventures",2019.0
Ninety One,FinTech,Series A,30000000.0,Ahmedabad,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",2021,"Sachin Chopra, Vishal Chopra",A91 Partners,2015.0
Gobillion,FinTech,Seed,2900000.0,New Delhi,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,2021,"Roshan Farhan, Kulapradip Bharali","YCombinator, Justin Mateen, Pioneer Fund",2020.0
RIPPLR,FinTech,Pre-series B,12000000.0,Bangalore,India’s first Plug-n-Play distribution ecosystem for brands,2021,"Abhishek Nehru, Santosh Dabke","Sojitz Corporation, Stride Ventures",2019.0
SK Finance,FinTech,Series F,53000000.0,Jaipur,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,2021,Rajendra Setia,"IIFL Wealth, TPG Growth, Norwest Venture Partners",1994.0
Eggoz,FinTech,Series A,3500000.0,Gurugram,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,2021,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital",2017.0
Fabriclore,FinTech,Pre-series A,700000.0,Jaipur,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.",2021,"Vijay Sharma, Anupam Arya, Sandeep Sharma","Fluid Ventures, Mulberry Silks",2016.0
Veefin,FinTech,Unknown,3000000.0,Mumbai,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.",2021,"Gautam Udani, Raja Debnath",Rajesh Rajendran,2010.0
Verandah,FinTech,Seed,1000000.0,Mumbai,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,2021,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora",2011.0
Karkinos Healthcare,FinTech,Unknown,3000000.0,Mumbai,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.",2021,"R Venkataramanan, Ravi Kant",Reliance Digital Health,2020.0
OWO Technologies,FinTech,Seed,3000000.0,Gurugram,An ecommerce startup offering online beverages and packaged drinking water,2021,"Ajay Changani, Hardev Sahu",,2020.0
EsportsXO,FinTech,Seed,1100000.0,Bangalore,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,2021,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,2020.0
Zorgers,FinTech,Unknown,3000000.0,Mohali,Zorgers Home Healthcare is India’s most trusted Home Healthcare Service Provider. Recognized by the Govt of India.,2021,"Varun Gupta, Anil Kumar, Abhinav Gupta",Ritu Marya Family Office.,2013.0
BangDB,FinTech,Unknown,3000000.0,Bangalore,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,2021,Sachin Sinha,Ten Innovate,2015.0
Neobank Jupiter,FinTech,Series C,86000000.0,Mumbai,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,2021,Jitendra Gupta,"Tiger Global, Sequoia Capital",2019.0
Skippi Ice Pops,FinTech,Unknown,130000.0,Hyderabad,India's First Icepops Brand,2021,Ravi Kabra,Shark Tank India,2021.0
Glii,FinTech,Seed,10000.0,Noida,India’s finest dating companionship application,2021,Shivam Kaushik,We Founder Circle,2020.0
GlobalBees,FinTech,Series B,111000000.0,New Delhi,Globalbees partners with entrepreneurs who have built an online-first business.,2021,"Nitin Agarwal, Supam Maheshwari","Premji Invest, Steadview Capital",2021.0
Mamaearth,"Health, Wellness & Fitness",Unknown,37000000.0,Gurugram,Baby and mother care brand,2021,"Ghazal, Varun Alagh",Sequoia,2016.0
SecureNow,FinTech,Series B,6000000.0,Gurugram,SecureNow is an award winning tech-enabled insurance intermediary.,2021,"Kapil Mehta, Abhishek Bondia",Apis Insurtech Fund I,2011.0
Vendor Infra,FinTech,Unknown,265000.0,Gurugram,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities",2021,Rahul Jain,"SK Tripathi, Sanjeev Gupta",2019.0
Hakuna Matata,FinTech,Unknown,1000000.0,Chennai,Hakuna Matata Solutions is a leading Digital Transformation Company offering a full spectrum of technology solutions and services for enterprises across different industry verticals all over the globe.,2021,Gengarajan PV,Hardcastle Petrofer,2006.0
OneCard,FinTech,Unknown,76000000.0,Pune,"India's finest and smartest metal credit card, reimagined for the mobile generation.",2021,"Rupesh Kumar, Anurag Sinha, Vibhav Hathi","Ocean View Investment, QED Fund",2019.0
Doubtnut,FinTech,Series B,30000000.0,Gurugram,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.",2021,"Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",2016.0
Hubhopper,FinTech,Unknown,3000000.0,New Delhi,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms",2021,Gautam Raj Anand,"ITI Growth Opportunities Fund, Unit-E Ventures",2015.0
Infra.Market,FinTech,Series C,100000000.0,Thane,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,2021,"Aaditya Sharda, Souvik Sengupta","InnoVen Capital, Nexus Venture Partners",2016.0
Comofi Medtech,FinTech,Unknown,200000.0,Bangalore,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies",2021,"Satish Kalme, Kubasad Gururaj",CIIE.CO,2017.0
Battery Smart,FinTech,Seed,3000000.0,New Delhi,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,2021,"Pulkit Khurana, Siddharth Sikka",Orios Venture Partners,2019.0
Kutuki,FinTech,Seed,2000000.0,Bangalore,Kutuki is a learning platform focused on children between the ages of three and seven.,2021,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2017.0
Onelife,FinTech,Unknown,3000000.0,Mumbai,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",2021,Gaurav Aggarwal,Wipro venture capital arm,2019.0
Eupheus,FinTech,Series B,4000000.0,New Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,2021,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures",2017.0
KreditBee,FinTech,Series C,75000000.0,Bangalore,KreditBee is an Instant Personal Loan Platform for Young Professionals.,2021,Madhusudan Ekambaram,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",2018.0
Pencil,FinTech,Pre-series A,1000000.0,Mumbai,Pencil is a content publishing platform that enables writers to publish their work for free.,2021,"Malini Nair, Preeti Chib, Swarup Nanda","Inflection Point Ventures, SucSEED Venture Partners",2019.0
Aisle,FinTech,Pre-series A,3000000.0,Bangalore,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,2021,Able Joseph,"Anas Rahman Junaid, Vinod Jose",2014.0
Marquee Equity,FinTech,Unknown,3800000.0,Mumbai,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,2021,Ash Narain,"Capital One, Arrowroot Capital",2016.0
UptimeAI,FinTech,Seed,1500000.0,Bangalore,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures",2021,"Jagadish Gattu, Vamsi Yalamanchili",YourNest Venture Capital,2016.0
WizKlub,FinTech,Pre-series A,800000.0,Bangalore,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,2021,Amit Bansal,Incubate Fund India,2018.0
Zolve,FinTech,Seed,15000000.0,Bangalore,Zolve Innovations operates as a neo-banking startup.,2021,Raghunandan G,"Kunal Shah, Greg Kidd",2020.0
MediBuddy,FinTech,Debt,3000000.0,Bangalore,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",2021,Satish Kannan,"InnoVen Capital, TEAMFund",2000.0
Pariksha,FinTech,Pre-series A,2000000.0,Pune,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.",2021,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",2015.0
Express Stores,FinTech,Seed,1000000.0,Gurugram,Express Stores is a retail and omnichannel startup company,2021,"Apoorv Jain, Kartik Gupta","Venture Highway, Rohit Bansal",2019.0
Avataar Ventures,FinTech,Unknown,100000000.0,Bangalore,Avataar Venture Partners is a growth Capital Investment Firm.,2021,Mohan Kumar,,2019.0
Zingbus,FinTech,Pre-series A,3000000.0,Haryana,Zingbus is an emerging brand in the intercity bus services.,2021,Mratunjay Beniwal,"Venture Catalysts, 9Unicorns Accelerator Fund",2019.0
Phable,FinTech,Series A,12000000.0,Bangalore,Mobile App for Patients and Doctors,2021,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Fresco Capital, Social Starts",2017.0
Codingal,FinTech,Unknown,3000000.0,Bangalore,Coding education platform for K-12 students,2021,"Satyam Baranwal, Vivek Prakash","Y Combinator, Rebright Partners",2020.0
Supply6,FinTech,Seed,100000.0,Bangalore,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,2021,"Rahul Jacob, Vaibhav Bhandari","Rohit Goutamchand, India CXO Fund",2018.0
Swajal,FinTech,Pre-series A,1600000.0,Gurugram,Swajal uses clean solar energy to purify drinking water at an affordable rate.,2021,"Advait Kumar, Vibha Tripathi","Rajasthan Venture Capital Fund, ACPL Exports",2015.0
BharatPe,FinTech,Series D,100000000.0,New Delhi,BharatPe develops a QR code-based payment app for offline retailers and businesses.,2021,"Ashneer Grover, Shashvat Nakrani","Amplo, Insight Partners",2018.0
Filo,FinTech,Pre-seed,260000.0,New Delhi,Instant learning platform for students while self study.,2021,"Imbesat Ahmad, Shadman Anwer",Better Capital,2020.0
Method & Madness,FinTech,Seed,2000000.0,Mumbai,Method & Madness Technology operates as a real-estate tech company.,2021,Aditya Jhaveri,Justin Mateen,2020.0
